pickup_hour,total_trips,avg_fare,avg_duration_mins,total_revenue
0,110776,20.17,14.12,3352045.48
1,71847,17.79,12.84,1944499.05
2,47927,16.48,12.11,1218678.94
3,32347,17.56,12.32,857684.54
4,23209,23.4,16.15,762855.5
5,30261,28.58,22.17,1140894.12
6,64289,24.54,21.9,2082203.92
7,126884,20.25,19.31,3567083.19
8,175839,19.0,18.47,4735244.26
9,207551,18.85,17.92,5592476.57
10,226789,19.01,17.98,6192351.28
11,244244,18.88,17.96,6633239.35
12,265883,19.25,18.03,7362933.45
13,275818,19.78,18.42,7842891.62
14,296864,20.53,19.39,8763506.47
15,314658,20.62,19.77,9309988.78
16,320127,20.54,19.8,10056384.79
17,341347,18.9,17.95,10132844.5
18,345637,17.79,16.05,9837042.1
19,297785,18.46,15.39,8749714.42
20,270731,19.15,15.2,7935735.57
21,266702,18.92,14.89,7739099.78
22,227452,19.55,14.97,6758233.87
23,164072,20.76,14.93,5117065.86
