pickup_hour,total_trips,tipped_trips,tip_rate_pct,avg_tip_when_tipped
0,110776,88299,79.71,4.73
1,71847,56333,78.41,4.22
2,47927,37222,77.66,4.0
3,32347,23871,73.80,4.17
4,23209,14950,64.41,5.29
5,30261,16845,55.67,5.9
6,64289,39787,61.89,4.79
7,126884,92434,72.85,4.18
8,175839,135038,76.80,4.08
9,207551,157795,76.03,4.17
10,226789,172214,75.94,4.31
11,244244,186273,76.27,4.32
12,265883,202832,76.29,4.42
13,275818,211999,76.86,4.57
14,296864,230651,77.70,4.73
15,314658,247678,78.71,4.69
16,320127,254609,79.53,4.94
17,341347,280713,82.24,4.63
18,345637,289155,83.66,4.42
19,297785,249800,83.89,4.55
20,270731,227479,84.02,4.59
21,266702,225277,84.47,4.57
22,227452,190510,83.76,4.68
23,164072,133532,81.39,4.88
